축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
제8회 김광석노래부르기,김광석길야외콘서트홀,2020-10-31,2020-10-31,"전국 규모 김광석 노래경연 대회 개최, 유튜브 라이브 중계",대구문화방송㈜,대구광역시 중구,대구광역시+대구광역시 중구,053-661-2174,,,대구광역시 중구 동덕로8길34-20,대구광역시 중구 대봉동 6-5,,,2021-08-20,3410000,대구광역시 중구
제31회 동성로축제,동성로 야외무대,2020-10-23,2020-10-25,"비대면 온라인 축제 개최,  동성로가요제_댄스대회_먹방대회_패션쇼외 SNS이벤트(부르GO, 춤추GO, 먹GO,입GO 4가지 대회로 구성), 축제기간 동성로 일원 4곳  LED전광판 축제영상 송출",사)달성문화선양회,사)달성문화선양회,대구광역시+대구광역시 중구,053-661-2174,,,대구광역시 중구 동성로28,대구광역시 중구 동성로2가 165-1,,,2021-08-20,3410000,대구광역시 중구
개항제례,창원시립 마산음악관 야외,2018-05-01,2018-05-01,"개항제례, 전시행사, 경연행사, 전시/체험행사",마산예총,창원시,,,,,경상남도 창원시 마산합포구 수산2길 35,,35.19757501,128.5719112,2021-10-19,5670000,경상남도 창원시
제28회 봉산미술제,봉산문화거리,2020-10-09,2020-10-11,"도슨트아트투어(봉산문화거리 화랑 투어), 온라인 VR전시, 온라인 미술작품경매, 코로나19 주제의 어린이 작품 온라인 전시 등",봉산문화협회,봉산문화협회,대구광역시+대구광역시 중구,053-661-2174,,,대구광역시 중구 봉산문화길 77,대구광역시 중구 봉산동 125,35.86339725,128.5965647,2021-08-20,3410000,대구광역시 중구
2020 대구 문화재 야행,"약령시, 청라언덕",2020-09-25,2020-09-26,"청사초롱 야경 투어, 전시행사 및 포토존 운영, 공연 무관중 사전녹화 영상 등 송출",대구광역시 중구,대구광역시 중구,"문화재청, 대구광역시",053-661-2195,,,대구광역시 중구 달구벌대로 415길 49,대구광역시 중구 남성로 51-1,35.86851636,128.5899085,2021-08-20,3410000,대구광역시 중구
김광석길페스티벌,김광석길 일원(김광석길야외콘서트홀),2020-11-07,2020-11-08,"대구레코드 페어, 김광석 노래 편곡 오케스트라 공연, 버스킹, 유튜브 라이브중계",방천문화예술협회,방천문화예술협회,대구광역시+대구광역시 중구,053-661-2174,,,대구광역시 중구 동덕로8길 34-20,대구광역시 중구 대봉동 6-5,,,2021-08-20,3410000,대구광역시 중구
향촌동수제화골목 2020년「빨간구두 이야기」,향촌동수제화골목 일원,2020-10-31,2020-11-01,"비대면 온라인 축제 개최, 수제화패션쇼, 행운권 추첨 등",대구광역시 수제화협회,대구광역시 수제화협회,대구광역시 중구,053-661-2046,,,대구광역시 중구 서성로14길 78,대구광역시 중구 향촌동 42-2,35.8728473,128.591844,2021-08-20,3410000,대구광역시 중구
대구패션주얼리위크,대구 주얼리 특구,2020-10-30,2020-10-31,"비대면 온라인 축제 개최,  주얼리패션쇼, 주얼리경매, 주얼리모델선발대회, 주얼리체험 등",대구패션주얼리위크 조직위원회,대구패션주얼리특구상인회,대구광역시 중구,053-661-2046,,,대구광역시 중구 경상감영길 176,대구광역시 중구 동문동 38-6,35.87177744,128.5966863,2021-08-20,3410000,대구광역시 중구
마노르블랑 수국축제,마노르블랑,2021-05-01,2021-09-30,수국축제의 향연. 전세계 30여종 7천여본 수국들을 만나다,마노르블랑,마노르블랑,,064-794-0999,https://manorblanc.modoo.at/,,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,,33.25482364,126.2949866,2021-12-15,6500000,제주특별자치도
해녀마켓 - 해녀와 함께하는 온/오프라인 프리마켓,법환동 해녀물질체험장,2021-05-08,2021-07-24,5월부터 매주 토요일. 윤슬이 찬란하게 빛나는 법환 바다 앞 물질체험장에서 토요 문화장터 해녀마켓이 열린다.,㈜헤쎄드커뮤니케이션즈,㈜헤쎄드커뮤니케이션즈,법환동 어촌계,064-900-4053,,,제주특별자치도 서귀포시 법환동 169-5,,33.2333792,126.5128503,2021-12-15,6500000,제주특별자치도
2021 제주카페스타,제주국제컨벤션센터,2021-06-03,2021-06-06,제주 유일의 카페박람회 - 제주카페스타는 올해로 5회차를 맞이한 카페박람회로 제주 카페 산업과 문화. 최근 트렌드까지 한 눈에 볼 수 있다.,(주)숨비페어스,(주)숨비페어스,,064-711-1002,https://www.jejucafeshow.com/,,제주특별자치도 서귀포시 중문관광로 224,,33.24128964,126.4244429,2021-12-15,6500000,제주특별자치도
2021 제주해녀축제,해녀박물관,2021-09-17,2021-09-19,해녀 디지털 화보전시.해녀 레시피.숨비소리길 VR.해녀체험 브이로그,해녀박물관,해녀박물관,,064-782-9898,http://www.jeju.go.kr/haenyeo/index.htm,18일 해녀의 날 기념식 제외 모두 온라인 진행 예정,제주특별자치도 제주시 구좌읍 해녀박물관길 26,,33.52360988,126.8634256,2021-12-15,6500000,제주특별자치도
탐라문화제,제주특별자치도 일원,2021-10-06,2021-10-10,탐라인의 삶.제주문화 중흥,제60회 탐라문화제추진위원회,제주특별자치도+사단법인 한국예총제주특별자치도연합회,제주특별자치도교육청.한국문화예술위원회 등,064-753-3287,http://www.tamnafestival.kr/,온오프라인병행,,제주특별자치도 제주시 일도1동 1146-22,33.5132895,126.5280239,2021-12-15,6500000,제주특별자치도
제15회 차성문화제,기장중학교 일원,2019-10-12,2019-10-13,"전통문화체험, 차성가 연극 및 공연, 차성가 콘서트 등",차성문화제추진위원회,차성문화제추진위원회,부산광역시 기장군청,051-709-4062,http://www.gijang.go.kr/tour/index.gijang,,부산광역시 기장군 기장읍 읍내로 120,부산광역시 기장군 기장읍 대라리 40,35.2448828028,129.2183134038,2019-09-23,3400000,부산광역시 기장군
은행나무길 축제,곡교천 은행나무길,2019-10-24,2019-10-27,"공연, 프리마켓, 거리공연",(재)아산문화재단,충청남도 아산시,,041-540-2550,http://culture.asan.go.kr/_ginko/,,,충청남도 아산시 염치읍 백암리 502-3,,,2021-08-19,4520000,충청남도 아산시
안산사이언스밸리(ASV) 과학축제,한양대 ERICA,2018-10-20,2018-10-21,"과학기술체험 부스 운영, 드론페스티벌 등","경기TP, 안산청소년수련관, 한양대 ERICA",안산시,,031-481-3517,,,경기도 안산시 상록구 한양대학로 55,경기도 안산시 상록구 사동 1271,37.298004,126.834393,2021-08-31,3930000,경기도 안산시
제11주년 세계인의 날 기념행사,안산화랑유원지,2018-11-04,2018-11-04,"기념식, 문화 및 각종 부대행사",안산시,안산시,한국가스공사,031-481-3298,,원곡동 다문화거리,경기도 안산시 단원구 동산로 268,경기도 안산시 단원구 초지동 667,37.325674,126.813771,2021-08-31,3930000,경기도 안산시
강진청자축제,청자촌 일원,2021-10-01,2021-10-07,가을축제에 따른 다이내믹하고 흥이 넘치는 청자촌 분위기 조성과 향우와 구민이 함께 어우러지는 문화체육관광부 선정 우수축제,강진군향토축제추진위원회,강진군,"전라남도, 한국관광공사, 농협중앙회, 광주은행",061-430-3352,http://www.gangjin.go.kr/culture/,,전라남도 강진군 대구면 청자촌길 33,전라남도 강진군 대구면 사당리 127,34.50866041,126.8008375,2021-11-22,4920000,전라남도 강진군
강진만 춤추는 갈대축제,강진만 생태공원 일원,2021-10-29,2021-11-07,가을의 정취와 추억을 체험하는 남도답사 1번지 이미지 창출과 갈대·음악·자연을 대표하는 명품 축제,강진군 향토축제추진위원회,강진군,,061-430-3354,http://www.gangjin.go.kr/culture/,,전라남도 강진군 강진읍 남당로 97-23,전라남도 강진군 강진읍 목리 128-1,34.6259705,126.7724317,2021-11-22,4920000,전라남도 강진군
축령산 편백산소축제,축령산 조림성공지,2019-10-05,2019-10-05,"공연,체험,판매행사 등",장성군축제위원회,장성군,,061-390-7242,https://www.jangseong.go.kr/home/tour_new/festival/festival_04/festival_04_03,축령산 편백숲,,전라남도 장성군 서삼면 모암리 569-5,35.3738904268,126.7564871215,2021-12-23,4980000,전라남도 장성군
빈센트의 봄,"장성역 광장, 장성공원 일원",2019-04-13,2019-04-14,"공연,체험,판매행사 등",장성읍청년회,장성군,"한국철도공사, 장성미술협회 등",061-390-7405,https://www.jangseong.go.kr/home/tour_new/festival,"옐로우시티,빈센트반고흐",,전라남도 장성군 장성읍 영천리 1273-5,35.29995636,126.780147,2021-12-23,4980000,전라남도 장성군
2020 부평풍물대축제,신트리공원 등,2020-10-16,2020-10-18,"다큐멘터리 제작, 지역 문화예술인 참여 소규모 공연 등",부평구축제위원회+ 부평구문화재단+ 부평문화원,인천광역시 부평구청,문화체육관광부+인천광역시,032-509-7516,https://portal.icbp.go.kr/bpf/,,인천광역시 부평구 신트리로 21,인천광역시 부평구 부평동 880,37.506554,126.7236393,2021-12-24,3540000,인천광역시 부평구
2021 부평풍물대축제,부평아트센터,2021-10-15,2021-10-17,"전통, 창작, 가족 공연, 개막 및 폐막 공연, 작품전시 등",부평구축제위원회+ 부평구문화재단+ 부평문화원,인천광역시 부평구청,인천광역시+인천광역시의회+부평구의회,032-509-7516,https://portal.icbp.go.kr/bpf/,홈페이지 참조,인천광역시 부평구 아트센터로 166,인천광역시 부평구 십정동 186,37.4822383,126.7049334,2021-12-24,3540000,인천광역시 부평구
2019 오륙도 평화축제,평화공원(대연동),2019-10-19,2019-10-20,"무대공연, 부대행사, 오륙도 평화가족가요제",부산광역시 남구,부산광역시 남구,,,,,부산광역시 남구 대연동 707번지,,35.12625873,129.1003968,2021-12-23,3310000,부산광역시 남구
봉화은어축제,봉화읍 내성천 일원,2021-07-31,2021-08-08,"은어반두잡이, 맨손잡이 체험 등",(재)봉화축제관광재단,경상북도 봉화군,,054-674-3053,https://bhftf.co.kr:8091/,"분천산타마을,봉화송이축제",,경북 봉화군 봉화읍 내성로 5길 13 군민행복센터 4층,36.8888791,128.7378251,2021-12-23,5240000,경상북도 봉화군
9.81파크; X리그 2021 정규시즌,9.81파크,2021-03-01,2021-11-07,천혜의 제주 풍경을 감상하며 중력가속도만으로 스피드를 즐기는 다운힐(down-hill)레이싱,9.81파크,9.81파크,,1899-9810,https://www.981park.com/,,제주특별자치도 제주시 애월읍 천덕로 880-24,,33.39003694,126.366509,2021-12-15,6500000,제주특별자치도
휴애리 수국 축제,휴애리,2021-04-01,2021-08-31,오색빛깔 아름다운 수국축제,휴애리,휴애리,,064-732-2114,http://www.hueree.com/index.php,,제주특별자치도 서귀포시 남원읍 신례동로 256,,33.30853475,126.6343808,2021-12-15,6500000,제주특별자치도
금천하모니축제 2021,금천구청 광장 일대,2021-11-03,2021-11-07,워크스루형 대형 기획 전시,금천문화재단,서울특별시 금천구청+금천문화재단,서울특별시,02-2627-1442,https://gcfac.or.kr/content?gcfac_menu_cd=U0107,,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,37.45706565,126.8960369,2022-02-26,3170000,서울특별시 금천구
제천국제음악영화제,"시내일원, 의림지",2022-08-12,2022-08-17,음악영화제,제천국제음악영화제집행위원회,제천국제음악영화제집행위원회,제천시,043-646-2242,http://www.jimff.org,,충청북도 제천시 의림대로12길 14-1,충청북도 제천시 청전동 110,37.1493417,128.2160865,2022-02-25,4400000,충청북도 제천시
제천의병제,자양영당 등,2022-10-15,2022-10-16,의병제,제천문화원,제천문화원,제천시,043-642-3646,http://www.jecheoncc.or.kr,,충청북도 제천시 의림대로 125,충청북도 제천시 중앙로2가 26-1,37.13923321,128.210774,2022-02-25,4400000,충청북도 제천시
겨울왕국 제천페스티벌,시내 및 의림지 일원,2022-12-24,2023-01-23,겨울벚꽃 및 얼음 축제,(재)제천문화재단,(재)제천문화재단,제천시,043-641-4870,http://www.jccf.or.kr,,충청북도 제천시 의림대로 242,충청북도 제천시 청전동 110,37.1493417,128.2160865,2022-02-25,4400000,충청북도 제천시
대전효문화뿌리축제,뿌리공원 및 원도심 일원,2021-09-01,2021-10-10,"생생과 화합의 만복장터, 온라인 공연, 체험, 이벤트 등",대전효문화뿌리축제추진위원회,대전광역시 중구,,042-606-6292,https://www.djjunggu.go.kr/hyo-ppuri/index.do,뿌리공원,대전광역시 중구 뿌리공원로 47,대전광역시 중구 안영동 71-2,36.28533721,127.3844931,2022-02-25,3650000,대전광역시 중구
영천보현산별빛축제,보현산천문과학관 일원,2021-10-08,2021-10-10,"천문, 우주, 과학 관련 온오프라인 콘텐츠 운영, 천문학 강의, 스타파티, 각종 참여 프로그램 등",영천보현산별빛축제위원회,영천보현산별빛축제위원회,경상북도 영천시,054-330-6702,https://www.yc.go.kr/toursub/star/,보현산천문대,경상북도 영천시 화북면 별빛로 681-32,경상북도 영천시 화북면 정각리 689,36.1402561,128.9964736,2022-02-25,5100000,경상북도 영천시
제2회 북성로 축제,북성로 공구골목 일원,2018-10-20,2018-10-21,"부스프로그램, 북성로 공업소 투어, 오픈 스튜디오(작가 공방 오픈), 거리전시 및 공연",훌라,대구광역시 중구,대구광역시 중구,053-661-2173,,,대구광역시 중구 북성로104,대구광역시 중구 북성로1가 96-2,35.87433558,128.5936894,2021-08-20,3410000,대구광역시 중구
제24회 단양온달문화축제,영춘면 온달관광지 및 단양읍 일원,2021-10-22,2021-10-24,제24회 단양온달문화축제,온달문화축제추진위원회,단양문화원,단양군청,043-420-2552,https://www.danyang.go.kr/ondal,제24회 단양온달문화축제,충청북도 단양군 영춘면 온달로 23,충청북도 단양군 영춘면 하리 147,37.06295564,128.4929221,2021-11-16,4480000,충청북도 단양군
